ID,groupe,Y_qualite, Z_qualite, couleur,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
245,train,7,Bon,rouge,15.0,0.21,0.44,2.20,0.075,10.0,24,1.00005,3.07,0.84,9.20
246,train,6,OK,rouge,7.3,0.66,0.00,2.00,0.084,6.0,23,0.99830,3.61,0.96,9.90
247,train,5,OK,rouge,7.1,0.68,0.07,1.90,0.075,16.0,51,0.99685,3.38,0.52,9.50
248,train,5,OK,rouge,8.2,0.60,0.17,2.30,0.072,11.0,73,0.99630,3.20,0.45,9.30
249,train,6,OK,rouge,7.7,0.53,0.06,1.70,0.074,9.0,39,0.99615,3.35,0.48,9.80
250,test,6,OK,rouge,7.3,0.66,0.00,2.00,0.084,6.0,23,0.99830,3.61,0.96,9.90
251,train,6,OK,rouge,10.8,0.32,0.44,1.60,0.063,16.0,37,0.99850,3.22,0.78,10.00
252,validate,6,OK,rouge,7.1,0.60,0.00,1.80,0.074,16.0,34,0.99720,3.47,0.70,9.90
253,validate,5,OK,rouge,11.1,0.35,0.48,3.10,0.090,5.0,21,0.99860,3.17,0.53,10.50
254,validate,5,OK,rouge,7.7,0.78,0.42,1.90,0.092,8.0,86,0.99590,3.23,0.59,9.50
255,train,6,OK,rouge,7.1,0.60,0.00,1.80,0.074,16.0,34,0.99720,3.47,0.70,9.90
256,train,5,OK,rouge,8.0,0.57,0.23,3.20,0.073,17.0,119,0.99675,3.26,0.57,9.30
257,validate,5,OK,rouge,9.4,0.34,0.37,2.20,0.075,5.0,13,0.99800,3.22,0.62,9.20
258,train,5,OK,rouge,6.6,0.70,0.00,2.10,0.075,12.0,56,0.99680,3.49,0.67,9.20
259,train,5,OK,rouge,7.7,0.41,0.76,1.80,0.611,8.0,45,0.99680,3.06,1.26,9.40
260,train,7,Bon,rouge,10.0,0.31,0.47,2.60,0.085,14.0,33,0.99965,3.36,0.80,10.50
261,train,5,OK,rouge,7.9,0.33,0.23,1.70,0.077,18.0,45,0.99625,3.29,0.65,9.30
262,train,4,Mauvais,rouge,7.0,0.98,0.04,2.00,0.087,12.0,67,0.99565,3.35,0.60,9.40
263,train,5,OK,rouge,8.0,0.52,0.03,1.70,0.070,10.0,35,0.99575,3.34,0.57,10.00
264,train,5,OK,rouge,7.9,0.37,0.23,1.80,0.077,23.0,49,0.99630,3.28,0.67,9.30
265,validate,5,OK,rouge,12.5,0.56,0.49,2.40,0.064,5.0,27,0.99990,3.08,0.87,10.90
266,test,7,Bon,rouge,11.8,0.26,0.52,1.80,0.071,6.0,10,0.99680,3.20,0.72,10.20
267,train,4,Mauvais,rouge,8.1,0.87,0.00,3.30,0.096,26.0,61,1.00025,3.60,0.72,9.80
268,test,8,Bon,rouge,7.9,0.35,0.46,3.60,0.078,15.0,37,0.99730,3.35,0.86,12.80
269,train,6,OK,rouge,6.9,0.54,0.04,3.00,0.077,7.0,27,0.99870,3.69,0.91,9.40
270,validate,6,OK,rouge,11.5,0.18,0.51,4.00,0.104,4.0,23,0.99960,3.28,0.97,10.10
271,test,6,OK,rouge,7.9,0.55,0.06,4.00,0.087,27.0,61,0.99650,3.36,0.67,10.70
272,train,6,OK,rouge,11.5,0.18,0.51,4.00,0.104,4.0,23,0.99960,3.28,0.97,10.10
273,test,5,OK,rouge,10.9,0.37,0.58,4.00,0.071,17.0,65,0.99935,3.22,0.78,10.10
274,test,5,OK,rouge,8.4,0.72,0.20,2.40,0.076,10.0,38,0.99735,3.31,0.64,9.40
275,train,5,OK,rouge,7.5,0.65,0.18,7.00,0.088,27.0,94,0.99915,3.38,0.77,9.40
276,train,6,OK,rouge,7.9,0.55,0.06,4.00,0.087,27.0,61,0.99650,3.36,0.67,10.70
277,train,6,OK,rouge,6.9,0.54,0.04,3.00,0.077,7.0,27,0.99870,3.69,0.91,9.40
278,validate,6,OK,rouge,11.5,0.18,0.51,4.00,0.104,4.0,23,0.99960,3.28,0.97,10.10
279,train,8,Bon,rouge,10.3,0.32,0.45,6.40,0.073,5.0,13,0.99760,3.23,0.82,12.60
280,train,7,Bon,rouge,8.9,0.40,0.32,5.60,0.087,10.0,47,0.99910,3.38,0.77,10.50
281,train,6,OK,rouge,11.4,0.26,0.44,3.60,0.071,6.0,19,0.99860,3.12,0.82,9.30
282,validate,7,Bon,rouge,7.7,0.27,0.68,3.50,0.358,5.0,10,0.99720,3.25,1.08,9.90
283,train,5,OK,rouge,7.6,0.52,0.12,3.00,0.067,12.0,53,0.99710,3.36,0.57,9.10
284,train,7,Bon,rouge,8.9,0.40,0.32,5.60,0.087,10.0,47,0.99910,3.38,0.77,10.50
285,validate,5,OK,rouge,9.9,0.59,0.07,3.40,0.102,32.0,71,1.00015,3.31,0.71,9.80
286,test,5,OK,rouge,9.9,0.59,0.07,3.40,0.102,32.0,71,1.00015,3.31,0.71,9.80
287,train,6,OK,rouge,12.0,0.45,0.55,2.00,0.073,25.0,49,0.99970,3.10,0.76,10.30
288,train,6,OK,rouge,7.5,0.40,0.12,3.00,0.092,29.0,53,0.99670,3.37,0.70,10.30
289,train,7,Bon,rouge,8.7,0.52,0.09,2.50,0.091,20.0,49,0.99760,3.34,0.86,10.60
290,validate,5,OK,rouge,11.6,0.42,0.53,3.30,0.105,33.0,98,1.00100,3.20,0.95,9.20
291,train,7,Bon,rouge,8.7,0.52,0.09,2.50,0.091,20.0,49,0.99760,3.34,0.86,10.60
292,validate,5,OK,rouge,11.0,0.20,0.48,2.00,0.343,6.0,18,0.99790,3.30,0.71,10.50
293,test,6,OK,rouge,10.4,0.55,0.23,2.70,0.091,18.0,48,0.99940,3.22,0.64,10.30
294,train,6,OK,rouge,6.9,0.36,0.25,2.40,0.098,5.0,16,0.99640,3.41,0.60,10.10
295,train,6,OK,rouge,13.3,0.34,0.52,3.20,0.094,17.0,53,1.00140,3.05,0.81,9.50
296,train,5,OK,rouge,10.8,0.50,0.46,2.50,0.073,5.0,27,1.00010,3.05,0.64,9.50
297,test,5,OK,rouge,10.6,0.83,0.37,2.60,0.086,26.0,70,0.99810,3.16,0.52,9.90
298,validate,5,OK,rouge,7.1,0.63,0.06,2.00,0.083,8.0,29,0.99855,3.67,0.73,9.60
299,test,5,OK,rouge,7.2,0.65,0.02,2.30,0.094,5.0,31,0.99930,3.67,0.80,9.70
300,train,5,OK,rouge,6.9,0.67,0.06,2.10,0.080,8.0,33,0.99845,3.68,0.71,9.60
301,train,6,OK,rouge,7.5,0.53,0.06,2.60,0.086,20.0,44,0.99650,3.38,0.59,10.70
302,train,6,OK,rouge,11.1,0.18,0.48,1.50,0.068,7.0,15,0.99730,3.22,0.64,10.10
303,train,5,OK,rouge,8.3,0.71,0.12,2.60,0.092,12.0,28,0.99940,3.51,0.72,10.00
304,test,5,OK,rouge,7.4,0.67,0.12,1.60,0.186,5.0,21,0.99600,3.39,0.54,9.50
305,validate,5,OK,rouge,8.4,0.65,0.60,2.10,0.112,12.0,90,0.99730,3.20,0.52,9.20
306,train,6,OK,rouge,10.3,0.53,0.48,2.50,0.063,6.0,25,0.99980,3.12,0.59,9.30
307,validate,5,OK,rouge,7.6,0.62,0.32,2.20,0.082,7.0,54,0.99660,3.36,0.52,9.40
308,train,6,OK,rouge,10.3,0.41,0.42,2.40,0.213,6.0,14,0.99940,3.19,0.62,9.50
309,train,6,OK,rouge,10.3,0.43,0.44,2.40,0.214,5.0,12,0.99940,3.19,0.63,9.50
310,train,6,OK,rouge,7.4,0.29,0.38,1.70,0.062,9.0,30,0.99680,3.41,0.53,9.50
311,train,6,OK,rouge,10.3,0.53,0.48,2.50,0.063,6.0,25,0.99980,3.12,0.59,9.30
312,validate,6,OK,rouge,7.9,0.53,0.24,2.00,0.072,15.0,105,0.99600,3.27,0.54,9.40
313,train,6,OK,rouge,9.0,0.46,0.31,2.80,0.093,19.0,98,0.99815,3.32,0.63,9.50
314,test,5,OK,rouge,8.6,0.47,0.30,3.00,0.076,30.0,135,0.99760,3.30,0.53,9.40
315,validate,5,OK,rouge,7.4,0.36,0.29,2.60,0.087,26.0,72,0.99645,3.39,0.68,11.00
316,train,6,OK,rouge,7.1,0.35,0.29,2.50,0.096,20.0,53,0.99620,3.42,0.65,11.00
317,train,5,OK,rouge,9.6,0.56,0.23,3.40,0.102,37.0,92,0.99960,3.30,0.65,10.10
318,validate,6,OK,rouge,9.6,0.77,0.12,2.90,0.082,30.0,74,0.99865,3.30,0.64,10.40
319,test,7,Bon,rouge,9.8,0.66,0.39,3.20,0.083,21.0,59,0.99890,3.37,0.71,11.50
320,train,6,OK,rouge,9.6,0.77,0.12,2.90,0.082,30.0,74,0.99865,3.30,0.64,10.40
321,test,7,Bon,rouge,9.8,0.66,0.39,3.20,0.083,21.0,59,0.99890,3.37,0.71,11.50
322,train,5,OK,rouge,9.3,0.61,0.26,3.40,0.090,25.0,87,0.99975,3.24,0.62,9.70
323,train,5,OK,rouge,7.8,0.62,0.05,2.30,0.079,6.0,18,0.99735,3.29,0.63,9.30
324,train,6,OK,rouge,10.3,0.59,0.42,2.80,0.090,35.0,73,0.99900,3.28,0.70,9.50
325,test,6,OK,rouge,10.0,0.49,0.20,11.00,0.071,13.0,50,1.00150,3.16,0.69,9.20
326,test,6,OK,rouge,10.0,0.49,0.20,11.00,0.071,13.0,50,1.00150,3.16,0.69,9.20
327,train,7,Bon,rouge,11.6,0.53,0.66,3.65,0.121,6.0,14,0.99780,3.05,0.74,11.50
328,train,5,OK,rouge,10.3,0.44,0.50,4.50,0.107,5.0,13,0.99800,3.28,0.83,11.50
329,train,6,OK,rouge,13.4,0.27,0.62,2.60,0.082,6.0,21,1.00020,3.16,0.67,9.70
330,train,5,OK,rouge,10.7,0.46,0.39,2.00,0.061,7.0,15,0.99810,3.18,0.62,9.50
331,train,6,OK,rouge,10.2,0.36,0.64,2.90,0.122,10.0,41,0.99800,3.23,0.66,12.50
332,train,6,OK,rouge,10.2,0.36,0.64,2.90,0.122,10.0,41,0.99800,3.23,0.66,12.50
333,validate,6,OK,rouge,8.0,0.58,0.28,3.20,0.066,21.0,114,0.99730,3.22,0.54,9.40
334,train,5,OK,rouge,8.4,0.56,0.08,2.10,0.105,16.0,44,0.99580,3.13,0.52,11.00
335,train,7,Bon,rouge,7.9,0.65,0.01,2.50,0.078,17.0,38,0.99630,3.34,0.74,11.70
336,train,7,Bon,rouge,11.9,0.70,0.53,3.40,0.128,7.0,21,0.99920,3.17,0.84,12.20
337,train,6,OK,rouge,8.9,0.43,0.45,1.90,0.052,6.0,16,0.99480,3.35,0.70,12.50
338,train,5,OK,rouge,7.8,0.43,0.32,2.80,0.080,29.0,58,0.99740,3.31,0.64,10.30
339,train,6,OK,rouge,12.4,0.49,0.58,3.00,0.103,28.0,99,1.00080,3.16,1.00,11.50
340,train,7,Bon,rouge,12.5,0.28,0.54,2.30,0.082,12.0,29,0.99970,3.11,1.36,9.80
341,train,6,OK,rouge,12.2,0.34,0.50,2.40,0.066,10.0,21,1.00000,3.12,1.18,9.20
342,validate,6,OK,rouge,10.6,0.42,0.48,2.70,0.065,5.0,18,0.99720,3.21,0.87,11.30
343,train,6,OK,rouge,10.9,0.39,0.47,1.80,0.118,6.0,14,0.99820,3.30,0.75,9.80
344,train,6,OK,rouge,10.9,0.39,0.47,1.80,0.118,6.0,14,0.99820,3.30,0.75,9.80
345,train,6,OK,rouge,11.9,0.57,0.50,2.60,0.082,6.0,32,1.00060,3.12,0.78,10.70
346,test,5,OK,rouge,7.0,0.69,0.00,1.90,0.067,40.0,63,0.99790,3.60,0.81,9.90
347,test,7,Bon,rouge,6.6,0.82,0.02,2.70,0.072,17.0,34,0.99550,3.58,0.89,12.30
348,validate,6,OK,rouge,13.8,0.49,0.67,3.00,0.093,6.0,15,0.99860,3.02,0.93,12.00
349,train,6,OK,rouge,9.6,0.56,0.31,2.80,0.089,15.0,46,0.99790,3.11,0.92,10.00
350,train,6,OK,rouge,9.1,0.79,0.00,2.60,0.093,11.0,28,0.99940,3.36,0.86,9.40
351,validate,6,OK,rouge,10.7,0.67,0.22,2.70,0.107,17.0,34,1.00040,3.28,0.98,9.90
352,train,6,OK,rouge,9.1,0.80,0.00,2.60,0.096,11.0,26,0.99940,3.35,0.83,9.40
353,train,5,OK,rouge,7.7,0.67,0.00,2.40,0.090,8.0,19,0.99740,3.27,0.73,9.30
354,train,5,OK,rouge,13.5,0.53,0.79,4.80,0.120,23.0,77,1.00180,3.18,0.77,13.00
355,train,6,OK,rouge,6.1,0.21,0.40,1.40,0.066,40.5,165,0.99120,3.25,0.59,11.90
356,train,6,OK,rouge,6.7,0.75,0.01,2.40,0.078,17.0,32,0.99550,3.55,0.61,12.80
357,train,5,OK,rouge,11.5,0.41,0.52,3.00,0.080,29.0,55,1.00010,3.26,0.88,11.00
358,test,7,Bon,rouge,10.5,0.42,0.66,2.95,0.116,12.0,29,0.99700,3.24,0.75,11.70
359,validate,7,Bon,rouge,11.9,0.43,0.66,3.10,0.109,10.0,23,1.00000,3.15,0.85,10.40
360,test,6,OK,rouge,12.6,0.38,0.66,2.60,0.088,10.0,41,1.00100,3.17,0.68,9.80
361,validate,5,OK,rouge,8.2,0.70,0.23,2.00,0.099,14.0,81,0.99730,3.19,0.70,9.40
362,validate,6,OK,rouge,8.6,0.45,0.31,2.60,0.086,21.0,50,0.99820,3.37,0.91,9.90
363,test,5,OK,rouge,11.9,0.58,0.66,2.50,0.072,6.0,37,0.99920,3.05,0.56,10.00
364,train,5,OK,rouge,12.5,0.46,0.63,2.00,0.071,6.0,15,0.99880,2.99,0.87,10.20
365,train,7,Bon,rouge,12.8,0.62,0.66,5.80,0.083,7.0,42,1.00220,3.07,0.73,10.00
366,train,6,OK,rouge,10.0,0.42,0.50,3.40,0.107,7.0,21,0.99790,3.26,0.93,11.80
367,train,7,Bon,rouge,12.8,0.62,0.66,5.80,0.083,7.0,42,1.00220,3.07,0.73,10.00
368,test,5,OK,rouge,10.4,0.58,0.61,2.60,0.076,11.0,24,1.00000,3.16,0.69,9.00
369,train,5,OK,rouge,10.3,0.34,0.52,2.80,0.159,15.0,75,0.99980,3.18,0.64,9.40
370,test,7,Bon,rouge,9.4,0.27,0.53,2.40,0.074,6.0,18,0.99620,3.20,1.13,12.00
371,train,5,OK,rouge,6.9,0.77,0.02,2.30,0.063,35.0,63,0.99750,3.57,0.78,9.90
372,validate,6,OK,rouge,7.9,0.24,0.40,1.60,0.056,11.0,25,0.99670,3.32,0.87,8.70
373,train,6,OK,rouge,9.1,0.28,0.48,1.80,0.067,26.0,46,0.99670,3.32,1.04,10.60
374,validate,5,OK,rouge,7.4,0.55,0.22,2.20,0.106,12.0,72,0.99590,3.05,0.63,9.20
375,train,6,OK,rouge,14.0,0.41,0.63,3.80,0.089,6.0,47,1.00140,3.01,0.81,10.80
376,validate,7,Bon,rouge,11.5,0.54,0.71,4.40,0.124,6.0,15,0.99840,3.01,0.83,11.80
377,train,6,OK,rouge,11.5,0.45,0.50,3.00,0.078,19.0,47,1.00030,3.26,1.11,11.00
378,train,7,Bon,rouge,9.4,0.27,0.53,2.40,0.074,6.0,18,0.99620,3.20,1.13,12.00
379,train,6,OK,rouge,11.4,0.63,0.66,6.20,0.088,6.0,24,0.99880,3.11,0.99,13.30
380,train,6,OK,rouge,8.3,0.42,0.38,2.50,0.094,24.0,60,0.99790,3.31,0.70,10.80
381,train,6,OK,rouge,8.3,0.26,0.42,2.00,0.080,11.0,27,0.99740,3.21,0.80,9.40
382,test,6,OK,rouge,13.7,0.42,0.68,2.90,0.085,17.0,43,1.00140,3.06,0.80,10.00
383,train,6,OK,rouge,8.3,0.26,0.42,2.00,0.080,11.0,27,0.99740,3.21,0.80,9.40
384,train,6,OK,rouge,8.3,0.26,0.42,2.00,0.080,11.0,27,0.99740,3.21,0.80,9.40
385,train,5,OK,rouge,7.7,0.51,0.28,2.10,0.087,23.0,54,0.99800,3.42,0.74,9.20
386,validate,6,OK,rouge,7.4,0.63,0.07,2.40,0.090,11.0,37,0.99790,3.43,0.76,9.70
387,train,6,OK,rouge,7.8,0.54,0.26,2.00,0.088,23.0,48,0.99810,3.41,0.74,9.20
388,validate,6,OK,rouge,8.3,0.66,0.15,1.90,0.079,17.0,42,0.99720,3.31,0.54,9.60
389,validate,6,OK,rouge,7.8,0.46,0.26,1.90,0.088,23.0,53,0.99810,3.43,0.74,9.20
390,train,7,Bon,rouge,9.6,0.38,0.31,2.50,0.096,16.0,49,0.99820,3.19,0.70,10.00
391,validate,8,Bon,rouge,5.6,0.85,0.05,1.40,0.045,12.0,88,0.99240,3.56,0.82,12.90
392,validate,6,OK,rouge,13.7,0.42,0.68,2.90,0.085,17.0,43,1.00140,3.06,0.80,10.00
393,test,5,OK,rouge,9.5,0.37,0.52,2.00,0.082,6.0,26,0.99800,3.18,0.51,9.50
394,train,5,OK,rouge,8.4,0.67,0.61,2.00,0.112,13.0,95,0.99700,3.16,0.54,9.10
395,train,5,OK,rouge,12.7,0.60,0.65,2.30,0.063,6.0,25,0.99970,3.03,0.57,9.90
396,validate,7,Bon,rouge,12.0,0.37,0.76,4.20,0.066,7.0,38,1.00040,3.22,0.60,13.00
397,validate,5,OK,rouge,6.6,0.74,0.02,7.90,0.122,68.0,124,0.99940,3.47,0.53,9.90
398,train,6,OK,rouge,11.5,0.59,0.59,2.60,0.087,13.0,49,0.99880,3.18,0.65,11.00
399,train,6,OK,rouge,11.5,0.59,0.59,2.60,0.087,13.0,49,0.99880,3.18,0.65,11.00
400,train,5,OK,rouge,8.7,0.77,0.22,2.30,0.064,9.0,42,0.99630,3.10,0.55,9.40
401,train,5,OK,rouge,6.6,0.74,0.02,7.90,0.122,68.0,124,0.99940,3.47,0.53,9.90
402,validate,6,OK,rouge,7.7,0.26,0.30,1.70,0.059,20.0,38,0.99490,3.29,0.47,10.80
403,validate,6,OK,rouge,12.2,0.48,0.54,2.60,0.085,19.0,64,1.00000,3.10,0.61,10.50
404,train,6,OK,rouge,11.4,0.60,0.49,2.70,0.085,10.0,41,0.99940,3.15,0.63,10.50
405,validate,5,OK,rouge,7.7,0.69,0.05,2.70,0.075,15.0,27,0.99740,3.26,0.61,9.10
406,test,6,OK,rouge,8.7,0.31,0.46,1.40,0.059,11.0,25,0.99660,3.36,0.76,10.10
407,validate,6,OK,rouge,9.8,0.44,0.47,2.50,0.063,9.0,28,0.99810,3.24,0.65,10.80
408,test,7,Bon,rouge,12.0,0.39,0.66,3.00,0.093,12.0,30,0.99960,3.18,0.63,10.80
409,train,6,OK,rouge,10.4,0.34,0.58,3.70,0.174,6.0,16,0.99700,3.19,0.70,11.30
410,train,4,Mauvais,rouge,12.5,0.46,0.49,4.50,0.070,26.0,49,0.99810,3.05,0.57,9.60
411,train,6,OK,rouge,9.0,0.43,0.34,2.50,0.080,26.0,86,0.99870,3.38,0.62,9.50
412,train,5,OK,rouge,9.1,0.45,0.35,2.40,0.080,23.0,78,0.99870,3.38,0.62,9.50
413,train,5,OK,rouge,7.1,0.74,0.16,1.90,0.100,15.0,77,0.99660,3.27,0.64,9.30
414,train,7,Bon,rouge,9.9,0.40,0.53,6.70,0.097,6.0,19,0.99860,3.27,0.82,11.70
415,test,5,OK,rouge,8.8,0.52,0.34,2.70,0.087,24.0,122,0.99820,3.26,0.61,9.50
416,validate,5,OK,rouge,8.6,0.73,0.24,6.60,0.117,31.0,134,1.00140,3.32,1.07,9.30
417,test,6,OK,rouge,10.6,0.48,0.64,2.20,0.111,6.0,20,0.99700,3.26,0.66,11.70
418,test,5,OK,rouge,7.0,0.58,0.12,1.90,0.091,34.0,124,0.99560,3.44,0.48,10.50
419,train,6,OK,rouge,11.9,0.38,0.51,2.00,0.121,7.0,20,0.99960,3.24,0.76,10.40
420,test,5,OK,rouge,6.8,0.77,0.00,1.80,0.066,34.0,52,0.99760,3.62,0.68,9.90
421,train,7,Bon,rouge,9.5,0.56,0.33,2.40,0.089,35.0,67,0.99720,3.28,0.73,11.80
422,validate,7,Bon,rouge,6.6,0.84,0.03,2.30,0.059,32.0,48,0.99520,3.52,0.56,12.30
423,train,5,OK,rouge,7.7,0.96,0.20,2.00,0.047,15.0,60,0.99550,3.36,0.44,10.90
424,train,7,Bon,rouge,10.5,0.24,0.47,2.10,0.066,6.0,24,0.99780,3.15,0.90,11.00
425,train,5,OK,rouge,7.7,0.96,0.20,2.00,0.047,15.0,60,0.99550,3.36,0.44,10.90
426,train,7,Bon,rouge,6.6,0.84,0.03,2.30,0.059,32.0,48,0.99520,3.52,0.56,12.30
427,train,6,OK,rouge,6.4,0.67,0.08,2.10,0.045,19.0,48,0.99490,3.49,0.49,11.40
428,test,6,OK,rouge,9.5,0.78,0.22,1.90,0.077,6.0,32,0.99880,3.26,0.56,10.60
429,train,5,OK,rouge,9.1,0.52,0.33,1.30,0.070,9.0,30,0.99780,3.24,0.60,9.30
430,train,6,OK,rouge,12.8,0.84,0.63,2.40,0.088,13.0,35,0.99970,3.10,0.60,10.40
431,train,7,Bon,rouge,10.5,0.24,0.47,2.10,0.066,6.0,24,0.99780,3.15,0.90,11.00
432,train,5,OK,rouge,7.8,0.55,0.35,2.20,0.074,21.0,66,0.99740,3.25,0.56,9.20
433,train,6,OK,rouge,11.9,0.37,0.69,2.30,0.078,12.0,24,0.99580,3.00,0.65,12.80
434,test,5,OK,rouge,12.3,0.39,0.63,2.30,0.091,6.0,18,1.00040,3.16,0.49,9.50
435,train,6,OK,rouge,10.4,0.41,0.55,3.20,0.076,22.0,54,0.99960,3.15,0.89,9.90
436,train,5,OK,rouge,12.3,0.39,0.63,2.30,0.091,6.0,18,1.00040,3.16,0.49,9.50
437,train,6,OK,rouge,8.0,0.67,0.30,2.00,0.060,38.0,62,0.99580,3.26,0.56,10.20
438,validate,6,OK,rouge,11.1,0.45,0.73,3.20,0.066,6.0,22,0.99860,3.17,0.66,11.20
439,train,6,OK,rouge,10.4,0.41,0.55,3.20,0.076,22.0,54,0.99960,3.15,0.89,9.90
440,validate,5,OK,rouge,7.0,0.62,0.18,1.50,0.062,7.0,50,0.99510,3.08,0.60,9.30
441,validate,8,Bon,rouge,12.6,0.31,0.72,2.20,0.072,6.0,29,0.99870,2.88,0.82,9.80
442,validate,6,OK,rouge,11.9,0.40,0.65,2.15,0.068,7.0,27,0.99880,3.06,0.68,11.30
443,train,7,Bon,rouge,15.6,0.69,0.76,3.70,0.100,6.0,43,1.00320,2.95,0.68,11.20
444,train,7,Bon,rouge,10.0,0.44,0.49,2.70,0.077,11.0,19,0.99630,3.23,0.63,11.60
445,train,7,Bon,rouge,5.3,0.57,0.01,1.70,0.054,5.0,27,0.99340,3.57,0.84,12.50
446,train,6,OK,rouge,9.5,0.74,0.10,2.10,0.079,6.0,31,0.99860,3.23,0.56,10.10
447,train,5,OK,rouge,12.5,0.38,0.60,2.60,0.081,31.0,72,0.99960,3.10,0.73,10.50
448,test,5,OK,rouge,9.3,0.48,0.29,2.10,0.127,6.0,16,0.99680,3.22,0.72,11.20
449,validate,6,OK,rouge,8.6,0.53,0.22,2.00,0.100,7.0,27,0.99670,3.20,0.56,10.20
450,train,6,OK,rouge,11.9,0.39,0.69,2.80,0.095,17.0,35,0.99940,3.10,0.61,10.80
451,test,6,OK,rouge,11.9,0.39,0.69,2.80,0.095,17.0,35,0.99940,3.10,0.61,10.80
452,test,6,OK,rouge,8.4,0.37,0.53,1.80,0.413,9.0,26,0.99790,3.06,1.06,9.10
453,train,6,OK,rouge,6.8,0.56,0.03,1.70,0.084,18.0,35,0.99680,3.44,0.63,10.00
454,train,7,Bon,rouge,10.4,0.33,0.63,2.80,0.084,5.0,22,0.99980,3.26,0.74,11.20
455,train,5,OK,rouge,7.0,0.23,0.40,1.60,0.063,21.0,67,0.99520,3.50,0.63,11.10
456,train,8,Bon,rouge,11.3,0.62,0.67,5.20,0.086,6.0,19,0.99880,3.22,0.69,13.40
457,train,5,OK,rouge,8.9,0.59,0.39,2.30,0.095,5.0,22,0.99860,3.37,0.58,10.30
458,train,5,OK,rouge,9.2,0.63,0.21,2.70,0.097,29.0,65,0.99880,3.28,0.58,9.60
459,train,7,Bon,rouge,10.4,0.33,0.63,2.80,0.084,5.0,22,0.99980,3.26,0.74,11.20
460,validate,3,Mauvais,rouge,11.6,0.58,0.66,2.20,0.074,10.0,47,1.00080,3.25,0.57,9.00
461,train,6,OK,rouge,9.2,0.43,0.52,2.30,0.083,14.0,23,0.99760,3.35,0.61,11.30
462,test,5,OK,rouge,8.3,0.62,0.22,2.60,0.087,6.0,19,0.99820,3.26,0.61,9.30
463,validate,5,OK,rouge,11.0,0.26,0.68,2.55,0.085,10.0,25,0.99700,3.18,0.61,11.80
464,validate,5,OK,rouge,8.1,0.66,0.70,2.20,0.098,25.0,129,0.99720,3.08,0.53,9.00
465,train,6,OK,rouge,11.5,0.32,0.54,2.10,0.084,5.0,15,0.99870,2.98,0.70,9.20
466,validate,5,OK,rouge,10.0,0.29,0.40,2.90,0.098,10.0,26,1.00060,3.48,0.91,9.70
467,test,6,OK,rouge,10.3,0.50,0.42,2.00,0.069,21.0,51,0.99820,3.16,0.72,11.50
468,test,6,OK,rouge,8.8,0.46,0.45,2.60,0.065,7.0,18,0.99470,3.32,0.79,14.00
469,validate,6,OK,rouge,11.4,0.36,0.69,2.10,0.090,6.0,21,1.00000,3.17,0.62,9.20
470,validate,5,OK,rouge,8.7,0.82,0.02,1.20,0.070,36.0,48,0.99520,3.20,0.58,9.80
471,validate,5,OK,rouge,13.0,0.32,0.65,2.60,0.093,15.0,47,0.99960,3.05,0.61,10.60
472,train,6,OK,rouge,9.6,0.54,0.42,2.40,0.081,25.0,52,0.99700,3.20,0.71,11.40
473,train,6,OK,rouge,12.5,0.37,0.55,2.60,0.083,25.0,68,0.99950,3.15,0.82,10.40
474,train,5,OK,rouge,9.9,0.35,0.55,2.10,0.062,5.0,14,0.99710,3.26,0.79,10.60
475,train,6,OK,rouge,10.5,0.28,0.51,1.70,0.080,10.0,24,0.99820,3.20,0.89,9.40
476,train,5,OK,rouge,9.6,0.68,0.24,2.20,0.087,5.0,28,0.99880,3.14,0.60,10.20
477,validate,5,OK,rouge,9.3,0.27,0.41,2.00,0.091,6.0,16,0.99800,3.28,0.70,9.70
478,test,6,OK,rouge,10.4,0.24,0.49,1.80,0.075,6.0,20,0.99770,3.18,1.06,11.00
479,train,5,OK,rouge,9.6,0.68,0.24,2.20,0.087,5.0,28,0.99880,3.14,0.60,10.20
480,train,6,OK,rouge,9.4,0.69,0.11,2.70,0.077,6.0,31,0.99840,3.19,0.70,10.10
481,train,5,OK,rouge,10.6,0.28,0.39,15.50,0.069,6.0,23,1.00260,3.12,0.66,9.20
482,train,8,Bon,rouge,9.4,0.30,0.56,2.80,0.080,6.0,17,0.99640,3.15,0.92,11.70
483,train,5,OK,rouge,10.6,0.36,0.59,2.20,0.152,6.0,18,0.99860,3.04,1.05,9.40
484,test,5,OK,rouge,10.6,0.36,0.60,2.20,0.152,7.0,18,0.99860,3.04,1.06,9.40
485,train,6,OK,rouge,10.6,0.44,0.68,4.10,0.114,6.0,24,0.99700,3.06,0.66,13.40
486,train,5,OK,rouge,10.2,0.67,0.39,1.90,0.054,6.0,17,0.99760,3.17,0.47,10.00
487,test,5,OK,rouge,10.2,0.67,0.39,1.90,0.054,6.0,17,0.99760,3.17,0.47,10.00
488,test,6,OK,rouge,10.2,0.65,0.36,1.80,0.053,5.0,14,0.99820,3.17,0.42,10.00
489,train,7,Bon,rouge,11.6,0.32,0.55,2.80,0.081,35.0,67,1.00020,3.32,0.92,10.80
490,train,6,OK,rouge,9.3,0.39,0.40,2.60,0.073,10.0,26,0.99840,3.34,0.75,10.20
